asin,review_count,avg_rating,helpful_votes,helpful_rate,avg_review_word_count,first_review_month,last_review_month,quality_flag
B000FVDD30,298,4.094,228,0.886,65.581,2007-12,2014-07,monitor
B000092TT0,297,4.832,1230,0.8301,146.037,2007-07,2014-07,high_volume_high_rating
B0002LEMWE,297,4.633,738,0.7358,62.215,2005-04,2014-07,high_volume_high_rating
B00066IJPQ,297,3.906,1506,0.8347,108.313,2008-10,2014-07,monitor
B000IF51UQ,291,4.381,466,0.8627,60.292,2007-09,2014-07,monitor
B0002MQGOK,284,4.518,416,0.8149,60.437,2005-06,2014-07,high_volume_high_rating
B000065BPB,284,4.384,1215,0.7901,146.482,2002-09,2014-07,monitor
B000F9YN22,282,4.706,575,0.8348,80.05,2006-08,2014-07,high_volume_high_rating
B000EPLP3C,279,3.871,4791,0.5663,249.276,2006-09,2014-03,monitor
B00005N6KG,278,4.072,305,0.8525,90.255,2002-01,2014-07,monitor
B00004Z5M1,276,4.681,472,0.7987,39.261,2002-06,2014-07,high_volume_high_rating
B00007GQLU,274,4.748,2533,0.8535,133.215,2004-12,2014-07,high_volume_high_rating
B000CSWCQA,274,4.339,924,0.8258,172.609,2006-03,2014-07,monitor
B00007056H,270,4.181,1195,0.9096,111.163,2002-11,2014-07,monitor
B00080G0BK,269,4.61,310,0.8097,99.126,2006-06,2014-07,high_volume_high_rating
B0000BVYTV,267,4.045,1504,0.8903,128.097,2003-08,2014-07,monitor
B00005ATMB,262,4.458,841,0.8751,70.065,2002-11,2014-07,monitor
B00008SCFL,262,3.397,1684,0.826,144.115,2003-05,2014-07,high_volume_low_rating
B000EXS1BS,259,4.332,3408,0.9566,220.32,2006-07,2014-05,monitor
B00004WCID,250,4.592,609,0.8588,62.056,2001-06,2014-07,high_volume_high_rating
B00005NIMJ,248,4.52,724,0.8536,119.98,2002-02,2014-07,high_volume_high_rating
B00009KH63,248,3.927,559,0.8569,166.863,2003-08,2014-07,monitor
B000EYRLXQ,246,3.74,309,0.8932,44.358,2007-01,2014-07,monitor
B000F7QRTG,244,4.676,466,0.8476,64.783,2007-12,2014-07,high_volume_high_rating
B00004SB92,244,4.131,1452,0.8836,144.23,2000-04,2014-07,monitor
B00022OBO2,239,3.941,705,0.817,70.351,2007-04,2014-07,monitor
B000EUGX70,236,4.136,705,0.678,184.267,2006-07,2014-07,monitor
B00009EHJV,233,4.391,839,0.8737,87.979,2004-10,2014-07,monitor
B00004THCZ,233,4.172,2605,0.9198,93.155,2000-10,2014-07,monitor
B00008Y0VN,231,4.329,633,0.8088,117.935,2004-11,2014-07,monitor
B0009YJXMS,230,4.6,169,0.7396,66.726,2006-05,2014-07,high_volume_high_rating
B000EOPQ7E,229,4.332,1848,0.9264,102.939,2006-05,2014-07,monitor
B0002AHT0M,229,3.965,307,0.9251,48.419,2007-02,2014-07,monitor
B0002ZW5W4,225,4.013,2177,0.893,209.387,2004-12,2014-06,monitor
B00004SABB,225,3.956,794,0.8564,79.871,2002-09,2014-07,monitor
B00006BBAC,223,4.318,723,0.8672,58.709,2007-10,2014-07,monitor
B0000AI0N1,222,4.658,139,0.8345,48.892,2010-05,2014-07,high_volume_high_rating
B000HCT12O,220,3.923,1085,0.765,200.341,2006-08,2014-05,monitor
0972683275,219,4.461,296,0.6993,71.79,2008-02,2014-07,monitor
B000067O5G,218,4.023,562,0.9075,92.899,2005-01,2014-07,monitor
B000067S60,216,4.593,178,0.7584,45.028,2002-09,2014-07,high_volume_high_rating
B00066FH1U,216,4.519,201,0.806,81.157,2005-09,2014-07,high_volume_high_rating
B0007U00X0,212,4.491,2150,0.893,142.175,2005-11,2014-07,monitor
B000067SMH,212,4.387,186,0.8602,49.939,2006-06,2014-07,monitor
B0009S5HQA,211,4.635,550,0.8473,57.986,2006-08,2014-03,high_volume_high_rating
B00002EQCW,211,4.602,414,0.8406,68.493,2000-07,2014-07,high_volume_high_rating
B000CC6I5W,211,3.81,294,0.8878,45.427,2006-04,2014-07,monitor
B0009YDP7W,208,4.611,425,0.8376,75.072,2006-03,2014-07,high_volume_high_rating
B000AZ57M6,208,4.611,3050,0.8013,196.433,2005-12,2014-07,high_volume_high_rating
B0000A1G05,207,4.329,2476,0.9116,198.478,2004-11,2014-07,monitor
B0007R4LI8,206,4.01,172,0.8256,76.107,2007-03,2014-07,monitor
B000092YPR,206,3.922,456,0.818,104.437,2003-11,2014-07,monitor
B000ENRQ3M,203,3.764,552,0.9293,104.975,2008-04,2014-07,monitor
B000HZDF8W,202,4.134,1198,0.7721,145.386,2006-12,2014-07,monitor
B000J43HJ8,202,4.064,586,0.7833,195.431,2006-11,2014-05,monitor
B000E6NGBU,201,4.264,353,0.8754,95.632,2006-07,2014-06,monitor
B00004WCIC,198,4.551,983,0.9084,81.515,2001-02,2014-07,high_volume_high_rating
B00067LYFW,198,4.071,724,0.913,118.894,2004-11,2014-07,monitor
B000068O3C,197,4.629,97,0.8351,46.426,2008-04,2014-07,high_volume_high_rating
B0007Z1M50,197,4.467,621,0.8116,111.914,2005-05,2014-02,monitor
B00081NX5U,197,4.421,590,0.8237,86.802,2006-05,2014-07,monitor
B000204SWE,197,3.802,1912,0.8813,140.98,2004-07,2014-04,monitor
B000EOMXM0,195,4.6,242,0.8099,51.728,2007-01,2014-04,high_volume_high_rating
B0007Y794O,195,4.456,2503,0.875,155.41,2005-10,2014-07,monitor
B00006I53S,194,4.268,2621,0.8764,170.902,2003-06,2014-07,monitor
B0001FTVEA,193,3.777,772,0.8808,130.435,2004-12,2014-07,monitor
B0002CZHN6,191,4.487,180,0.7444,51.963,2005-03,2014-07,monitor
B0002WPSBC,190,4.642,687,0.7773,215.121,2005-01,2014-07,high_volume_high_rating
B0009MIP8I,190,3.916,199,0.6382,86.816,2006-11,2014-07,monitor
B0002JY712,189,4.751,164,0.9024,48.222,2007-02,2014-07,high_volume_high_rating
B000AA2RCY,189,4.614,227,0.9383,43.328,2008-12,2014-07,high_volume_high_rating
B000F0ELOG,188,4.691,173,0.6705,56.67,2007-12,2014-07,high_volume_high_rating
B0000AZK4G,188,4.559,306,0.8725,63.511,2006-05,2014-07,high_volume_high_rating
B000CS7U1C,188,4.266,2072,0.709,256.287,2005-12,2013-10,monitor
B000HJPK2C,187,4.636,1864,0.8771,168.171,2006-12,2014-07,high_volume_high_rating
B0000BZOGJ,187,4.305,373,0.8579,137.455,2005-08,2014-07,monitor
B000IN09C8,187,4.144,571,0.9317,61.984,2007-08,2014-07,monitor
B0000CE1UO,187,3.84,1206,0.8532,183.123,2004-01,2014-06,monitor
B000JLG5ZY,186,3.726,470,0.9149,58.522,2006-12,2014-07,monitor
B0000B006W,185,4.697,143,0.8881,50.973,2005-03,2014-07,high_volume_high_rating
B00005T39Y,185,4.286,680,0.9103,89.351,2002-10,2014-07,monitor
B000BYCKU8,184,4.685,739,0.7375,62.511,2006-02,2014-07,high_volume_high_rating
B000I1ZWRC,184,4.609,4696,0.8986,174.788,2006-09,2014-06,high_volume_high_rating
B0000X0VCY,184,4.533,343,0.7055,54.027,2004-06,2014-07,high_volume_high_rating
B0002U1TJY,184,4.44,633,0.8847,115.565,2006-08,2014-06,monitor
B00001P4XH,184,4.065,594,0.8653,68.864,2000-11,2014-07,monitor
B00007FGU7,184,3.935,64,0.7969,43.973,2007-02,2014-07,monitor
B00004Z5D1,182,4.522,256,0.8594,54.225,2003-01,2014-07,high_volume_high_rating
B00004WCGF,182,4.456,141,0.8794,95.121,2002-12,2014-07,monitor
B0007MWE28,181,4.508,355,0.8141,58.829,2006-03,2014-07,high_volume_high_rating
B0002BEQJ8,180,4.65,62,0.7258,48.65,2008-10,2014-07,high_volume_high_rating
B000ENUCR4,180,4.567,187,0.5722,49.294,2007-06,2014-07,high_volume_high_rating
B00005ARK3,179,3.832,629,0.8219,173.994,2001-04,2014-03,monitor
B0007RV3IE,179,3.648,970,0.901,55.458,2006-07,2014-07,monitor
B0000645RH,179,3.62,1062,0.9087,97.531,2005-09,2014-07,monitor
B0002Y5WZC,177,4.661,324,0.784,103.39,2006-07,2014-07,high_volume_high_rating
B0001FTVDQ,177,4.475,897,0.7358,204.373,2005-01,2014-06,monitor
B000BI7NHY,177,3.701,2284,0.8511,260.181,2005-10,2014-02,monitor
B000H6AY6M,176,4.25,601,0.8602,136.477,2006-09,2014-05,monitor
B0007N55NW,176,4.108,553,0.877,96.148,2005-09,2014-07,monitor
B0000510ZO,175,4.709,154,0.8831,41.869,2008-09,2014-07,high_volume_high_rating
B000ANCPNM,175,4.611,455,0.8396,88.914,2006-03,2014-07,high_volume_high_rating
B00000J1V5,174,4.713,155,0.8258,37.851,2002-08,2014-07,high_volume_high_rating
B0001D3K8A,174,3.891,634,0.7965,128.925,2004-04,2014-06,monitor
B00011KM38,172,4.727,415,0.9181,57.733,2005-09,2014-07,high_volume_high_rating
B00009R6WT,172,4.576,2836,0.8128,202.959,2004-12,2014-05,high_volume_high_rating
B000095SB4,172,3.57,1623,0.976,112.983,2004-06,2014-06,monitor
B0009RGLSE,171,4.579,775,0.7781,52.649,2005-10,2014-07,high_volume_high_rating
B000EY5F5C,170,4.288,520,0.6577,98.718,2007-10,2014-07,monitor
B000CH3IIW,170,4.088,449,0.7372,96.147,2006-11,2014-06,monitor
B000BWACX2,170,3.718,2101,0.9752,116.541,2006-02,2014-07,monitor
B00009R6WO,169,4.669,3147,0.8761,173.42,2004-10,2014-07,high_volume_high_rating
B0002IWC9C,169,4.45,2477,0.9495,73.935,2004-09,2014-07,monitor
B000CLNHXY,169,4.438,423,0.8369,61.899,2006-05,2014-07,monitor
B00009UT9B,168,4.75,198,0.6212,75.119,2007-02,2014-07,high_volume_high_rating
B000FQ2JLW,167,4.743,129,0.6202,61.707,2007-04,2014-07,high_volume_high_rating
B000233WJ6,166,4.717,113,0.6106,44.886,2007-08,2014-07,high_volume_high_rating
B00021XIJW,166,3.03,556,0.8363,157.211,2004-07,2013-10,high_volume_low_rating
B0007QKMQY,164,4.659,3665,0.8761,198.293,2005-03,2014-01,high_volume_high_rating
B0000A2QBP,163,4.699,157,0.9108,43.816,2007-08,2014-06,high_volume_high_rating
B000IZDN60,163,4.276,759,0.9513,95.791,2007-01,2014-02,monitor
B000066E6Y,163,4.239,443,0.7675,114.46,2004-02,2014-07,monitor
B0007WK8MQ,163,4.129,723,0.8216,122.736,2005-05,2014-07,monitor
B0006I1TRY,162,4.71,108,0.8148,47.753,2007-08,2014-07,high_volume_high_rating
B000CSOXTO,162,4.457,2639,0.8905,196.79,2006-02,2014-06,monitor
B00005ATMI,162,4.327,552,0.913,72.735,2005-12,2014-07,monitor
B000ETXOC8,162,4.179,1577,0.9138,147.012,2006-05,2014-02,monitor
B0000BYDKO,161,3.596,274,0.927,69.205,2007-07,2014-07,monitor
B000F7JCRA,160,4.244,717,0.9066,162.188,2006-08,2014-05,monitor
B000HZ9CCA,160,4.062,769,0.7139,183.75,2006-10,2014-01,monitor
B0009ZBRS0,160,3.9,219,0.8356,109.963,2006-03,2014-07,monitor
B0002Y5WXE,159,4.686,2410,0.8743,161.113,2005-03,2014-07,high_volume_high_rating
B000053HH5,158,4.816,2273,0.7972,154.665,2004-02,2014-06,high_volume_high_rating
B00001P4XA,158,3.785,540,0.9093,121.905,2000-06,2014-06,monitor
B000095SB6,158,3.772,356,0.7556,155.975,2003-10,2013-05,monitor
B000A5TAT2,156,4.423,2459,0.9549,178.75,2005-10,2014-01,monitor
B00091S0WA,156,4.295,278,0.9281,57.628,2006-04,2014-07,monitor
B000ETVKHE,154,4.175,1128,0.9096,152.091,2006-04,2013-12,monitor
B000FNFSPY,153,4.719,141,0.3759,53.098,2012-01,2014-07,high_volume_high_rating
B00005K47X,153,4.68,319,0.815,81.026,2009-01,2014-07,high_volume_high_rating
B000EVLS4C,153,4.307,346,0.8873,70.301,2006-04,2014-04,monitor
B000EMWBV0,152,4.401,2350,0.9119,241.421,2006-05,2014-02,monitor
B00026BQJ6,152,4.184,411,0.708,145.026,2005-10,2014-05,monitor
B000BV8604,152,3.941,655,0.8885,82.684,2008-01,2014-07,monitor
B000EVM5DK,150,3.793,897,0.8595,104.153,2006-07,2014-07,monitor
B000ANOY7M,150,3.507,443,0.9233,93.44,2006-09,2014-06,monitor
B00000JDF5,149,4.718,348,0.6351,43.946,2000-05,2014-07,high_volume_high_rating
B000HAOVGM,149,4.456,1773,0.8793,169.06,2006-10,2014-02,monitor
B000EHUE7I,144,4.389,851,0.8884,128.083,2007-04,2014-06,monitor
B00006I5J7,143,4.727,227,0.9251,38.329,2008-01,2014-07,high_volume_high_rating
B0002D03ZW,143,4.343,818,0.8704,145.231,2005-10,2014-07,monitor
B000FNBYKW,143,4.021,76,0.75,84.804,2007-08,2014-06,monitor
B00081A2DQ,143,3.818,301,0.8173,121.524,2005-05,2014-01,monitor
B0007U0GZM,142,4.289,1799,0.8455,193.915,2005-08,2014-05,monitor
B0000VYJRY,141,4.574,173,0.7919,75.496,2005-06,2014-07,high_volume_high_rating
B000067RBT,141,4.553,104,0.8173,46.631,2007-03,2014-07,high_volume_high_rating
B000067RVL,141,4.504,249,0.9518,48.404,2007-11,2014-03,high_volume_high_rating
B000EW8074,141,4.504,2750,0.8207,288.404,2006-05,2014-07,high_volume_high_rating
B000092YQW,140,3.514,418,0.6388,174.243,2003-09,2013-11,monitor
B0006DPMU4,139,4.424,805,0.8373,190.604,2005-02,2014-06,monitor
B00005ML7Q,139,4.129,251,0.8486,53.504,2008-06,2014-07,monitor
B000093UDQ,139,3.957,161,0.8758,75.633,2005-08,2014-07,monitor
B000GIT002,138,4.362,408,0.7083,121.601,2007-12,2014-07,monitor
B00006HYKM,138,3.645,617,0.825,142.319,2002-11,2014-04,monitor
B0001VGFKW,137,4.642,150,0.6933,64.818,2007-01,2014-07,high_volume_high_rating
B0007MWE1E,137,4.496,340,0.6853,57.307,2006-11,2014-07,monitor
B000CMS0XU,137,4.416,509,0.6994,244.876,2008-01,2014-07,monitor
B0007LJHVA,137,4.387,1823,0.9199,195.343,2005-05,2014-01,monitor
B00006HYPV,137,3.489,489,0.6524,117.971,2002-12,2014-07,high_volume_low_rating
B0002RBQO0,136,4.625,1313,0.9604,78.11,2006-01,2014-07,high_volume_high_rating
B00023433U,136,4.544,248,0.7782,66.897,2006-12,2014-07,high_volume_high_rating
B0002YE6FY,136,4.382,409,0.6235,56.331,2005-05,2014-07,monitor
B000EHWCDW,136,4.338,772,0.8951,153.618,2007-01,2014-07,monitor
B00001ZWXA,136,4.316,448,0.7723,50.625,2000-10,2014-07,monitor
B000I1X3W8,135,4.874,2045,0.9134,179.511,2006-11,2014-07,high_volume_high_rating
B000EGI7V4,135,4.459,196,0.8724,69.904,2006-08,2014-07,monitor
B000CS1TLE,135,3.437,802,0.8529,201.259,2006-02,2014-06,high_volume_low_rating
B00007GQLS,134,4.739,1878,0.8594,213.216,2005-07,2014-06,high_volume_high_rating
B0000BZL5A,134,4.724,691,0.7931,101.493,2007-02,2014-07,high_volume_high_rating
B000ABB4HC,133,4.504,158,0.8608,88.173,2009-03,2014-07,high_volume_high_rating
B0000C3GWU,133,3.985,697,0.8623,100.932,2005-01,2014-06,monitor
B00006JQ06,132,4.22,454,0.9317,105.091,2005-06,2014-07,monitor
B000BFNOT8,131,4.405,335,0.9015,85.55,2006-06,2014-05,monitor
B0009H5VVM,131,4.313,411,0.8905,91.794,2007-02,2014-06,monitor
B0002D6QJO,130,4.677,283,0.7633,70.685,2006-10,2014-07,high_volume_high_rating
B0007VPFI4,130,4.131,475,0.9326,59.492,2006-01,2014-06,monitor
B00004XOM3,129,4.822,2295,0.9076,156.209,2001-08,2014-07,high_volume_high_rating
B00003CWDH,129,4.481,149,0.6644,54.45,2006-11,2014-06,monitor
B000EXR0SI,129,4.147,1183,0.8394,210.326,2006-06,2014-06,monitor
B00006B9CR,129,3.992,742,0.8639,163.589,2002-11,2014-07,monitor
B000089GN2,129,3.86,1009,0.8969,152.519,2003-06,2013-11,monitor
B000812QC6,129,3.775,232,0.8103,84.729,2007-01,2014-07,monitor
B000629GES,129,3.457,543,0.8398,119.69,2004-12,2013-12,high_volume_low_rating
B000E43GOO,128,3.828,129,0.6822,93.766,2006-12,2014-07,monitor
B000HGIWN4,127,4.661,2301,0.854,220.953,2006-09,2014-05,high_volume_high_rating
B000A6NV0U,127,3.882,176,0.7727,92.969,2006-01,2014-06,monitor
B000IDC0K2,127,3.827,88,0.6932,113.654,2009-11,2014-07,monitor
B000BP50AY,127,3.78,1324,0.8973,149.449,2005-11,2013-04,monitor
B0002QLQ96,127,3.661,119,0.8319,71.85,2008-01,2014-07,monitor
B0007U9SOC,126,4.206,419,0.7852,105.841,2006-01,2014-07,monitor
B0002IOIMQ,126,3.984,899,0.8432,101.722,2004-10,2014-01,monitor
B0000AZK0D,126,3.944,261,0.8544,129.944,2005-10,2014-07,monitor
B000BP8AY2,126,3.889,1023,0.9443,165.381,2005-11,2014-01,monitor
B000F7857S,126,3.754,46,0.6957,48.667,2009-07,2014-07,monitor
B0001FTVE0,125,4.584,917,0.7361,210.64,2004-06,2014-07,high_volume_high_rating
B00005T3BD,125,4.536,361,0.7507,93.168,2007-03,2014-07,high_volume_high_rating
B00004ZC9V,124,4.484,667,0.6432,58.782,2001-02,2014-07,monitor
B000JJM8XE,124,4.379,490,0.8163,122.798,2007-03,2014-07,monitor
B0001DBEM4,123,4.455,399,0.7494,154.854,2004-09,2014-07,monitor
B000068O16,122,4.754,32,0.7812,42.77,2010-07,2014-07,high_volume_high_rating
B0002UM0JW,122,4.279,942,0.8312,166.541,2004-09,2014-06,monitor
B000ALLMI8,122,4.27,703,0.8862,173.516,2006-03,2014-07,monitor
B00064V6RG,122,4.18,695,0.8935,111.238,2004-12,2014-06,monitor
B00065ANYC,121,4.628,440,0.775,59.215,2005-08,2013-11,high_volume_high_rating
B0001VWHH2,121,4.62,109,0.8349,51.736,2007-05,2014-07,high_volume_high_rating
B000067SOH,121,4.537,46,0.6087,43.545,2006-06,2014-07,high_volume_high_rating
B00008AWKZ,120,4.033,268,0.7761,78.625,2007-09,2014-06,monitor
B000GK8LVE,120,3.942,1612,0.8772,262.425,2006-12,2014-07,monitor
B0006ON0QQ,120,3.9,259,0.8764,97.683,2005-11,2014-07,monitor
B000AP05BO,120,3.708,3342,0.8989,212.483,2004-05,2014-06,monitor
B000BSLW8U,119,4.513,106,0.6981,44.261,2010-06,2014-07,high_volume_high_rating
B0000642RX,119,4.227,476,0.813,125.479,2002-06,2014-06,monitor
B000E8SY5Q,118,4.653,67,0.806,55.254,2007-04,2014-06,high_volume_high_rating
B0001CNMFM,117,4.675,945,0.9153,62.308,2005-11,2014-07,high_volume_high_rating
B000BNY64C,117,4.59,801,0.8489,56.889,2007-01,2014-07,high_volume_high_rating
B0003QIXBY,116,4.759,106,0.8962,59.56,2005-01,2014-07,high_volume_high_rating
B0002BEQN4,116,4.397,60,0.2667,35.69,2009-12,2014-07,monitor
B000A0UHXU,116,4.284,764,0.8455,106.56,2006-08,2014-07,monitor
B0001BVXI6,116,3.905,351,0.9117,126.931,2004-07,2014-07,monitor
B000051299,116,3.888,190,0.7421,80.707,2001-06,2014-07,monitor
B00006I53X,115,4.87,1060,0.7406,162.974,2005-03,2014-05,high_volume_high_rating
B00092GM0Q,115,4.374,208,0.8077,94.6,2006-05,2014-07,monitor
B00004VUGJ,115,4.235,494,0.8806,124.991,2001-01,2014-03,monitor
B0007QN18U,115,4.235,1154,0.9679,168.861,2005-06,2014-05,monitor
B0001F22PA,115,2.565,545,0.8092,138.983,2004-04,2013-11,high_volume_low_rating
B000I5LACO,114,4.491,113,0.7876,55.132,2010-10,2014-06,monitor
B000FITKK8,114,4.439,640,0.8328,101.877,2007-01,2014-03,monitor
B0009GZSSO,114,4.43,3166,0.9548,238.746,2005-06,2014-04,monitor
B00006HSML,114,4.395,237,0.8945,57.93,2007-02,2014-03,monitor
B000IJV4BC,114,4.281,1577,0.7051,206.912,2006-11,2014-07,monitor
B00004ZCKV,114,4.254,788,0.8071,78.596,2001-01,2014-06,monitor
B000HDFXU2,114,4.254,370,0.6622,56.333,2006-07,2014-07,monitor
B000I20AJ6,114,4.228,104,0.8173,55.86,2010-12,2014-06,monitor
B000BI2180,114,3.798,1393,0.9203,152.325,2005-10,2013-12,monitor
B000AO3L84,113,4.673,1262,0.901,107.681,2005-10,2014-05,high_volume_high_rating
B0009WU65I,113,4.54,78,0.9103,44.85,2010-09,2014-07,high_volume_high_rating
B000B6MLPU,113,4.407,155,0.3871,46.46,2006-10,2014-06,monitor
B000EXT5AY,113,4.354,787,0.9022,137.673,2006-07,2014-06,monitor
B0007Q9PWQ,112,4.58,43,0.7907,44.259,2011-08,2014-07,high_volume_high_rating
B00024ENES,112,4.571,398,0.8869,105.536,2005-08,2014-07,high_volume_high_rating
B0002SQ0A4,112,4.464,510,0.8059,126.304,2005-01,2012-11,monitor
B000JLKIHA,112,4.188,1208,0.5811,157.777,2007-09,2014-06,monitor
B0001A06GW,111,4.595,609,0.7044,59.477,2004-01,2014-04,high_volume_high_rating
B000J1H4VI,111,4.55,32,0.75,41.126,2010-01,2014-07,high_volume_high_rating
B000A2BLEC,111,4.117,391,0.9361,55.153,2006-05,2014-01,monitor
B0002GDIII,111,4.081,720,0.6986,157.009,2004-07,2014-01,monitor
B0007SL4IW,110,4.191,103,0.6214,61.673,2006-03,2014-07,monitor
B0002EQU6C,109,4.752,117,0.7009,62.725,2007-07,2014-06,high_volume_high_rating
B00006BBAB,109,4.56,193,0.9016,65.018,2009-04,2014-07,high_volume_high_rating
B0000A0AEM,109,4.174,240,0.8208,70.688,2008-11,2014-07,monitor
B00009W3TY,109,3.963,104,0.8654,58.211,2007-01,2014-07,monitor
