reviewer_id,asin,rating,review_month,helpful_yes,helpful_total,helpful_rate,review_word_count,summary
A3C51ESBUD8QAJ,0972683275,4.0,2011-12,0,0,,35,videosecu articulating wall mount
A3IC6OB22INS9,0972683275,4.0,2013-05,0,0,,25,product worked as advertised.
A3ISZ8KLXYYI7P,0972683275,5.0,2014-01,0,0,,86,Best Mount Ever
A3QH8VQDE7HZCR,0972683275,5.0,2010-10,15,19,0.7895,64,Real value for the money
A6J8D9V5S9MBE,0972683275,5.0,2011-06,0,0,,168,Simple and effective. Just the way I like it.
A39Z4OU2C7ENWH,0972683275,3.0,2012-02,1,1,1.0,209,"Works, but I don't trust it"
A2E5IK9TUH8UPD,0972683275,4.0,2012-03,0,0,,52,Easy to install.  Wire managment is not the best.
AEQR0VUFBZXUY,0972683275,5.0,2013-03,0,0,,48,Good corner mount
A13BWQDECDDVIZ,0972683275,4.0,2011-02,0,0,,119,VideoSecu
A12XCRHPREC51Y,0972683275,4.0,2013-06,0,0,,88,Nice mount for the money.
A3QPJS71FU70MX,0972683275,4.0,2013-09,0,0,,64,These mounts are amazing
A2A3B0JX2JRS6S,0972683275,5.0,2013-09,0,0,,29,in love with this mount
A1ZPEZMQBCTZQN,0972683275,4.0,2013-11,0,0,,41,Works great.
A2OGXHE7PVLTOE,0972683275,4.0,2011-12,0,0,,72,no problems with it.  works as intended.
A3OYE7X2O08LNT,0972683275,4.0,2013-02,0,0,,77,"Works good, but has some sag"
A2LR9WP2JGDT8E,0972683275,2.0,2012-12,0,2,0.0,163,screw holes don't align
A18FTRFQQ141CP,0972683275,5.0,2012-03,0,0,,61,SAMSUNG 32in PLASMA(: DOES THE WORK FOR US ( FAST SHIPPING!!!!!!!!)
A1XEYWWDJ09OEA,0972683275,4.0,2011-02,0,0,,71,Great mount for the price
A2JMN2JA9LSHVL,0972683275,1.0,2012-12,1,2,0.5,61,"Bought NEW Stand for $25, but mine had the 4 arms missing and was refurbished"
A3ATF868IEP191,0972683275,4.0,2013-02,0,0,,20,good mount
A14O9P3DV5EHKO,0972683275,3.0,2013-01,0,1,0.0,28,A little big for 24&#34; TV's
AVHB9LLVCTEKY,0972683275,5.0,2013-07,0,0,,176,Good and versatile
A2GPNXFUUV51ZZ,0972683275,5.0,2014-03,0,0,,43,"Easy install, great price, good performance."
A3CLWR1UUZT6TG,0972683275,5.0,2013-07,0,0,,20,Works well
A1V8UZ63FQD382,0972683275,5.0,2013-08,0,0,,165,Great product
A3Q7DHKIU7TMBI,0972683275,4.0,2013-01,0,0,,28,for my office tv
AOOQGCJEV25VT,0972683275,5.0,2012-12,0,0,,26,One of the best wal mount sets ever!!
A24OHQK700QEIW,0972683275,5.0,2012-05,0,0,,37,Very good!!
A3T3M5EYGCWSUA,0972683275,5.0,2011-07,0,0,,41,Strong/Easy install/ and comes with HDMI cable also!
A38FGQVJM18OWV,0972683275,1.0,2010-12,8,18,0.4444,138,What a piece of junk!
A1CA40102FA5N0,0972683275,5.0,2014-03,0,0,,30,Nice reach
A12PFARGH9ELDI,0972683275,5.0,2013-08,0,0,,25,"For the price, can't be beat."
A1P560UNX4SBE7,0972683275,5.0,2013-10,2,2,1.0,45,Samsung TV wall Mount
A28RVT20CEXA8B,0972683275,4.0,2011-01,0,0,,96,Durable
A27OMVFGJXH1VB,0972683275,5.0,2013-02,0,0,,37,Got Room?
A3E4YU6APQLRKE,0972683275,5.0,2013-11,0,0,,58,One more elegant solution for the home or office.
A1N4DKWTQ9YP1Q,0972683275,5.0,2013-02,0,0,,32,Wall Mount
AD0VA39FRVNKN,0972683275,5.0,2013-02,0,1,0.0,26,Vide Swing Arm tv mount
ABM9CL72EGWKN,0972683275,4.0,2013-11,0,0,,34,Good Product
A3A7ZJ4QS65X15,0972683275,3.0,2013-02,0,0,,86,"Bought to mount 46"" LCD"
A110S8IJ3ZID0D,0972683275,5.0,2014-01,0,0,,21,"Worked great for 55"" Vizio"
A11NR4AJK9TNQM,0972683275,4.0,2011-07,0,0,,94,Solid Design - Adjustable
A13M65IGNEQXW1,0972683275,3.0,2013-01,0,0,,23,Didn't fit as I expected
A180BZHVJIRWBZ,0972683275,4.0,2011-10,0,0,,230,"Very well made, strong mount."
A1R2514DVWIIMV,0972683275,4.0,2010-12,1,1,1.0,106,"Solid, but not the best mount I've had"
A1KM3IPZ9H0JKZ,0972683275,4.0,2014-01,0,0,,32,"Easy to install, cheap, easy to use"
AZ6SUJ5T0KBE5,0972683275,5.0,2013-07,0,1,0.0,70,Great bargain!
A7EVWY97FPSIA,0972683275,5.0,2012-12,0,0,,33,Awesome!
A1VM0DU10K0DE6,0972683275,5.0,2013-09,0,0,,141,What's the word for better than great???
A1VA1QF8KZNBLL,0972683275,5.0,2010-12,0,0,,125,the only mount I will buy
A1QKUDP9EUHJXH,0972683275,4.0,2013-04,0,0,,22,Insignia
A3TAS1AG6FMBQW,0972683275,5.0,2012-11,0,0,,116,"High quality construction, comes with plenty of easy to install hardware."
A2T4OX8NH9LIIC,0972683275,5.0,2013-01,0,0,,27,works great
A3VSGMP5KCQ4Q2,0972683275,5.0,2013-04,0,0,,159,Great quality tv mount at bargain price
A2RUN82QPU60PN,0972683275,3.0,2013-03,0,1,0.0,33,Much heavier than I expected
A2W75LE521OOTH,0972683275,5.0,2012-12,0,0,,40,"Great product, but review and image not linked to the unit I purchased."
A1PYNMFFQ9IBNL,0972683275,5.0,2012-12,0,0,,22,Tv mount
ANJY75Z24A6AG,0972683275,5.0,2013-03,1,1,1.0,192,Great!
AYYNNAEWP3W5Y,0972683275,5.0,2011-12,0,0,,73,Great!
A2XXCJLS58H1A7,0972683275,5.0,2013-08,0,0,,189,"If I had 3 TVs, I'd buy a 3rd"
A3DOQ1AI1MU74K,0972683275,4.0,2011-11,0,0,,118,"Nice Flexiable mount, had to cut to fit VIZIO E260MV 26"""
A2I87F2QCJ6RK3,0972683275,3.0,2013-01,1,1,1.0,25,Somewhat weak
A2EOJNVW4NF4AE,0972683275,4.0,2011-03,0,0,,23,Good value for the money
AB31FF0JMPOUP,0972683275,5.0,2013-12,0,0,,22,Very easy to setup.
A10S9NK38WEQ65,0972683275,4.0,2014-01,0,0,,41,Very sturdy.  As advertised
A56AUIA2KJ3KQ,0972683275,5.0,2012-12,0,0,,42,"Perfect, sturdy, and works well."
A22UL4BXTSXSCB,0972683275,4.0,2013-07,0,0,,28,"It is holding 55"" samsung TV, still."
AD3L2C20LB7EP,0972683275,5.0,2011-04,0,0,,42,VideoSecu Tv wall mount
A2UT34LEOXUR33,0972683275,5.0,2013-07,0,0,,38,Very good material.
A39KBWLS6TURMR,0972683275,5.0,2012-04,0,0,,65,"Made in R.o.C., but good for once"
ALVJCD5NY28G4,0972683275,4.0,2010-12,0,0,,45,"Good sturdy mount, however could be better"
ATWPVC644K29Z,0972683275,5.0,2013-06,0,0,,21,Can't beat it
A2LME30OB5OHTN,0972683275,5.0,2012-04,0,0,,34,Quick and Easy - very solid
A1EWQ5Y6HHSJGX,0972683275,5.0,2013-12,0,0,,29,Great Wall Mount
A120ULF73SUTI9,0972683275,4.0,2013-03,2,2,1.0,268,"Well made, Excellent Value"
A4AF29Y2BHYEY,0972683275,3.0,2013-08,0,0,,54,"Too Heavy and Poor weld quality,"
A6FGKXU6ZPW64,0972683275,5.0,2014-01,0,0,,78,Fantastic Mount for Corners
A1463ASM7QMU2I,0972683275,3.0,2012-01,0,0,,87,It's OK
A2BLGQ2SCSKCCY,0972683275,5.0,2013-01,0,0,,80,SWING ARM WALL MOUNT
A21OS6PWQG5YOO,0972683275,5.0,2012-05,0,0,,137,Liked it so much I bought another
A1OYA1IESSJ8F6,0972683275,5.0,2014-01,0,0,,49,Good arm
AA81KFW4X8UIH,0972683275,5.0,2013-02,0,0,,20,Good Purchase
A317RWPY08I5QX,0972683275,5.0,2013-11,0,0,,51,Very good tv mount
A39WT88YZXIJTB,0972683275,5.0,2014-03,0,0,,40,Great inexpensive TV mount
A3UYI01GLEYZSP,0972683275,5.0,2013-02,0,0,,194,Love it
AP7LSRPXT3ZL8,0972683275,5.0,2013-01,0,0,,17,Excellent!
AP3XMM1077I50,0972683275,5.0,2013-11,0,0,,71,Tv Wall mount
A1038957GWRBP375RU5T,0972683275,5.0,2012-11,0,0,,30,Great item
A7R4R9THNELTP,0972683275,5.0,2010-09,14,19,0.7368,47,"Excellent, at any price"
A2RU0H9MD4IH5M,0972683275,5.0,2013-04,0,1,0.0,48,Great Wall Mount
A2U9XX4Q5NQBG6,0972683275,5.0,2014-02,0,0,,30,Works as advertised
A212REVB5AFP02,0972683275,4.0,2014-03,0,0,,67,Sturdy and easy to install
A3SXYB8JPQ44LN,0972683275,4.0,2012-07,3,4,0.75,95,"Good product, poor instructions"
A3LSVS4YA2CEAX,0972683275,3.0,2013-10,0,1,0.0,75,"I have a 32"" Vizio TV"
A3TAT80JCWYGB4,0972683275,5.0,2014-01,0,0,,99,Still Standing
A2KUEGMSLHUNNP,0972683275,5.0,2012-11,0,0,,35,Great buy
A2YF3QW52PBL3C,0972683275,5.0,2013-01,1,2,0.5,0,"Works perfectly for 400 x 200 VESA mount Hiteker 37"" TV to wood paneled wall."
A7V9WIUIB02OI,0972683275,4.0,2013-10,0,0,,185,"Strong, attractive, and highly functional"
A2TOUTL6Z74SMQ,0972683275,5.0,2011-05,0,0,,31,mbb
A8THC8D64F5E3,0972683275,4.0,2013-03,0,0,,132,My new tv wall mount
A1RI8HAZRUWZM6,0972683275,5.0,2013-11,0,0,,20,Best buy for your buck.
A3IZFW84VV75XS,0972683275,5.0,2013-04,0,0,,42,Works
A3AKVALGT4Y02G,0972683275,4.0,2008-02,5,6,0.8333,44,can't beat it for the price
A2I8J6GW1H6LWU,0972683275,5.0,2010-09,7,9,0.7778,27,Great low cost mount!
AY796UUSZ2ZVA,0972683275,5.0,2012-09,0,0,,36,Works Great!
A2NOXTG05AHVB3,0972683275,5.0,2013-06,0,0,,52,Great for office
A2KR372GZW00MJ,0972683275,4.0,2013-12,0,0,,45,Good value
A2BLRT79WUTLXW,0972683275,3.0,2014-02,0,0,,54,tv mounts
A3PR648T8RDRS,0972683275,4.0,2012-08,0,0,,252,Get a helper when installing
A6TWN9W9WSAV0,0972683275,4.0,2012-12,0,0,,37,Hard to fit my TV
AZFF4CX9MQ4AE,0972683275,5.0,2013-11,0,0,,23,mrd
AH7DLKHSGZKCR,0972683275,5.0,2013-03,0,0,,28,Great Product -Easy install 5 min. to install. TV looks great on the wall. can move around easily
A2HI35H2BOCV9R,0972683275,3.0,2011-03,0,0,,84,Solid
A11IFJDOZ0T6Z2,0972683275,3.0,2013-01,0,0,,21,just ok
A15K7HV1XD6YWR,0972683275,1.0,2013-02,5,7,0.7143,214,Beware the TV will not center....folding arm lengths not same
A1HMK1KMWQBDTT,0972683275,5.0,2013-12,0,0,,26,Good buy for price.
A1S8E2JSVXHIPB,0972683275,5.0,2013-09,0,0,,34,Great Wall mount!!
A2QBJEHKTD7R6O,0972683275,3.0,2013-08,0,0,,24,difficult mount
A3S1BO0SLFC5H,0972683275,5.0,2013-08,0,0,,92,Great mount
A81NVWL4MMVT8,0972683275,4.0,2013-09,0,0,,26,Good
A3EP4YIS9W1LR1,0972683275,5.0,2013-01,0,0,,34,Good for price
AHPRCZ59P9RU0,0972683275,5.0,2011-01,0,0,,75,It works for me
A38LYJ7NQ65G5L,0972683275,5.0,2014-01,0,0,,57,SIMPLE....SOLID......GOOD VALUE!!
A6GYEDCEU2LKG,0972683275,5.0,2011-05,0,0,,48,Perfect Everything!
A3TCV19D652GPU,0972683275,4.0,2013-04,0,0,,24,Very sturdy.
A1N7QSP1U513KJ,0972683275,5.0,2013-02,0,0,,22,Awesome and cheap. The directions stink. Just remember the spacers go under the arms if you have to use them and you will be ok.
AQIBGC2OCCAHQ,0972683275,5.0,2014-06,0,0,,20,Good
A1EAXVLKPVL8W5,0972683275,5.0,2013-03,0,0,,80,A real SWINGER
A32QNGGSX3YTAH,0972683275,5.0,2010-11,0,0,,21,very good value
A1FFCR74WU1E6Z,0972683275,5.0,2014-02,1,1,1.0,20,Exactly what I wanted
A2GGS3I5BY7R1A,0972683275,5.0,2013-09,1,1,1.0,102,Excellent Product
A326UIIB1O2UUR,0972683275,5.0,2014-03,0,0,,38,easy to install
A2RE73VUCARNE0,0972683275,5.0,2013-02,0,0,,23,Very good
A3KHBD3YRNY5WO,0972683275,5.0,2013-03,1,1,1.0,31,perfect in every way
A3VWY3CDC423UM,0972683275,5.0,2013-02,0,0,,21,mount
A1L7JCX9IKGKIQ,0972683275,5.0,2012-03,0,0,,32,TV Wall mount
A2Y4H3PXB07WQI,0972683275,4.0,2010-12,0,0,,52,Works as advertised.
A3HAWAR6KX3ENU,0972683275,5.0,2013-07,0,0,,22,Nice Peice
A2EBPFXZNLL753,0972683275,5.0,2012-08,0,0,,21,Good price good product
A1OY33KGOG3IX8,0972683275,4.0,2013-02,0,0,,22,Good Product
A2WH3Y3YZVTHY2,0972683275,5.0,2012-03,0,0,,69,"Good Price, Great Quality"
A3945ZO3MNKVMO,0972683275,5.0,2012-03,0,0,,24,Works well
A2UAS6OGCR8IUG,0972683275,5.0,2012-12,0,0,,55,Great
A1BKKEWFMHS7XU,0972683275,5.0,2012-04,0,0,,48,Good mount for medium size TV
A1FGK3N8GZHGZJ,0972683275,5.0,2013-02,0,0,,70,awesome!
A2ZDMIP49N36UJ,0972683275,5.0,2013-03,0,0,,96,"Easy install, great price"
A14R4K86STZFD2,0972683275,5.0,2013-08,0,0,,147,"Great mount for my 47"" flat screen"
ABU4LUKJU2QOY,0972683275,5.0,2013-09,0,0,,148,No sag or twist with a 39-inch flat screen TV
A11ZP93TJED4T6,0972683275,2.0,2010-10,1,8,0.125,77,poor manufacture quality..
A114Z5X6UH93GT,0972683275,5.0,2013-01,0,0,,82,Great price compared to brick and mortar stores and seems to be good quality too.
A23S2XCWFZM976,0972683275,5.0,2014-01,1,1,1.0,408,Awesome TV mount
A1N9QB2BECD6TS,0972683275,5.0,2013-12,0,0,,43,Awesome range of motion
A11EKN3A8FUEDC,0972683275,5.0,2013-04,0,0,,29,Works Perfectly
A1THJB1ORM3U2I,0972683275,5.0,2013-08,1,1,1.0,68,Awesome
A1G5508T5XY1RS,0972683275,5.0,2012-11,1,1,1.0,51,Just as expected!
APRP1LWB08YG8,0972683275,4.0,2011-12,0,0,,119,Solid product
A1HBNCPHMW87Y0,0972683275,5.0,2012-05,0,0,,56,"works perfectly with my 32"" sony lcd"
A38VUSBYQZCKUQ,0972683275,5.0,2013-07,0,0,,21,excelent
A27K5RT7VDB7BU,0972683275,3.0,2010-12,70,92,0.7609,193,It Works But Could Be Better
A1KXONFPU2XQ5K,0972683275,4.0,2012-07,0,0,,71,Effective and inexpensive
A19H6TQ0NFXKVT,0972683275,5.0,2013-12,0,0,,22,Holds...
A3MY0WAP1OB7F8,0972683275,5.0,2012-05,1,1,1.0,74,Robust Articulating TV Mount
A19FCOXA6VVR9Z,0972683275,5.0,2011-11,0,0,,39,"He Shoots, He Scores"
A2FWAYS1GIOEX4,0972683275,5.0,2013-07,0,0,,69,"Not the easiest to mount, but we LOVE it."
A2K3WCT5GZY4FN,0972683275,5.0,2014-01,0,0,,293,Well worth the money
A25BHOP1LA4XDA,0972683275,5.0,2013-12,0,0,,55,Works great
A25RTRAPQAJBDJ,0972683275,5.0,2012-02,1,1,1.0,106,A great TV mount
A1USUT1GJPMNAN,0972683275,5.0,2010-11,0,0,,128,"Excellent mount for my 27"" LED"
AGY0KH2D5G9WH,0972683275,5.0,2010-10,18,23,0.7826,73,Excellent mount
A2JDDUN6YNRYKU,0972683275,5.0,2011-12,3,3,1.0,56,"Very good value, paired with VIZIO E320ME 32-inch"
AMAR6CIOZUQO4,0972683275,4.0,2010-09,3,4,0.75,116,Sturdy and an excellent value ...
AHWVTOXGM4SZ9,0972683275,5.0,2014-03,0,0,,23,wow!
A1C00XXCYWEKK1,0972683275,5.0,2012-12,0,0,,51,Very happy with it
A162MNFD5CGQ03,0972683275,5.0,2014-02,0,0,,36,"Works well, fairly easy to install"
AY1IDZTQDM2D7,0972683275,5.0,2012-12,0,0,,28,Good Mount
A299PV3CRFH3C5,0972683275,3.0,2012-12,0,1,0.0,32,Wall Mount
ALB2U20GGGJWU,0972683275,5.0,2014-04,0,0,,26,Well Built
A25M2X8KHSS2NC,0972683275,2.0,2010-09,8,15,0.5333,457,"Poor Quality Control, May Block the Ports on Your TV"
A1XSSIGIY4WGX5,0972683275,5.0,2011-12,0,0,,123,Better than advertised!
A2ZMEHV9S4FXV5,0972683275,1.0,2011-06,14,19,0.7368,137,"Junk, sags, wobbles, crooked, Rusted"
A3JD55EKK0KJKV,0972683275,1.0,2012-11,0,1,0.0,63,very difficult to tilt and swing
A2S4X009TZ0C26,0972683275,5.0,2014-02,0,0,,24,"Works with 2007 Vizio 42"" LCD"
A1L0MEXMESE4C4,0972683275,3.0,2012-12,0,0,,123,just got it installed
A2H1U31KRK5X5L,0972683275,1.0,2013-12,2,2,1.0,193,Sags Sags Sags....and the hardware does not work properly.
A3LDPF5FMB782Z,1400501466,5.0,2012-05,3,4,0.75,883,The BEST Color E-Reader - With Bonus Features
A9HYSJ3D0D6I2,1400501466,3.0,2012-05,1,2,0.5,82,possible lemon
A3EOHF2YSVZA9L,1400501466,5.0,2013-08,1,1,1.0,68,Loved it
ASH6NHZ1Z2O51,1400501466,5.0,2012-02,1,1,1.0,87,"Excellent tablet, great performance"
A3R2US71Y3CV9R,1400501466,5.0,2014-01,0,1,0.0,22,love the nook
A1A5KUIIIHFF4U,1400501466,1.0,2012-03,4,9,0.4444,112,This thing is a junk kids toy.
A2UL4M5SXL7L0A,1400501466,5.0,2012-07,11,11,1.0,318,"Excellent hardware, boot from SD for full tablet functionality"
A2XIOXRRYX0KZY,1400501466,3.0,2013-06,0,0,,322,"Decent Little Reader, Poor Tablet"
A1S2BTVDZV4PYD,1400501466,5.0,2013-11,0,1,0.0,66,a good e reader.
A1HLEJA9NGG4O4,1400501466,5.0,2013-02,0,0,,21,Great love it
A2K4IDHREI1GLM,1400501466,5.0,2014-03,1,1,1.0,34,Great for the price!
A2FHM5FB0BXKGA,1400501466,5.0,2012-02,17,19,0.8947,1432,"Outstanding 7"" Tablet"
A2749BTS2KRMVH,1400501466,2.0,2012-01,1,1,1.0,228,Does less than my cell phone
A1G9SOE51HET8E,1400501466,5.0,2012-05,1,1,1.0,493,Excellent toy and tool for children
A6VFSC0BW75Y0,1400501466,2.0,2012-01,5,5,1.0,1223,"People shouldn't be surprised about what it is, but still disappointing."
AQNEQQ96MKX3Y,1400501466,4.0,2012-02,6,6,1.0,809,GREAT .cbz (comic file) reader an more!
AHU88DJO03XZ7,1400501466,3.0,2013-07,0,0,,165,Ok For What It Is
AHEP4N0XIJR1K,1400501466,5.0,2013-08,1,2,0.5,38,New Nook H D
A2BD5KVPI6CSPU,1400501466,1.0,2014-02,0,0,,26,Used NOT new
A1ES2Z4ZX6IWBK,1400501466,5.0,2012-12,0,0,,222,"Barnes & Noble Nook  Tablet 16gb (Color,BNTV250)"
AH9FCFS4PCUVE,1400501466,5.0,2012-04,0,0,,136,The perfect choice!
A1WRXACOKPITBQ,1400501466,5.0,2012-02,2,3,0.6667,48,Best out there
AW3LX47IHPFRL,1400501466,5.0,2012-06,3,3,1.0,199,Great if rooted
A1E3OB6QMBKRYZ,1400501466,1.0,2012-10,6,6,1.0,129,Not a Real Tablet
A3OYMK6UMM871F,1400501466,5.0,2014-04,0,0,,67,The ultimate kid proof tablet
AJIHWX6ITBI9G,1400501466,5.0,2012-11,0,0,,141,"Nook Tablet is more, meaning MORE than a five star tablet."
A19N3S7CBSU6O7,1400501466,5.0,2011-12,33,39,0.8462,186,Nook Tablet
A1BZ18U2EF4FAI,1400501466,5.0,2013-06,0,0,,31,very good
AD4XKDR0MD7JO,1400501466,4.0,2013-10,2,2,1.0,287,"Great, But New Version Is Even Better"
AOHQVDAGYMV6J,1400501466,5.0,2012-05,1,1,1.0,165,Nook Tablet -- Rooted
A1ZJF8YB4LZ356,1400501466,1.0,2011-12,7,13,0.5385,33,"Tablet Good, support terrible"
A2QYH0JNDSB7CT,1400501466,1.0,2012-12,2,2,1.0,147,Nothing Special
A1R0ZOYR1ZCH6K,1400501466,5.0,2013-03,1,1,1.0,306,Best ebook reader under $150!
A2PQZH1SJGRV4Y,1400501466,5.0,2014-05,0,0,,29,Amaizng
A2DN13HKY0A58L,1400501466,5.0,2013-06,0,0,,21,present for wife
A2ENZ4FESUXXMT,1400501466,5.0,2012-03,9,10,0.9,141,"GREAT TABLET, IT IS WHAT IT IS"
A2ILMCJBXWF5TS,1400501466,1.0,2012-01,52,57,0.9123,1799,Very Limited Unless You Modify It
A3PIPAS3M7YLQC,1400501466,3.0,2012-12,3,3,1.0,235,Not for senior citizens
ASPN95ORQQDS0,1400501466,5.0,2013-11,0,1,0.0,26,Perfect for rooting and cyanogenmod
AW3KFYL19VZPL,1400501466,5.0,2012-06,0,0,,76,Fantastic product
A1I0MV8SWXSWDQ,1400501466,2.0,2011-12,11,20,0.55,70,Memory Card Issues
AL2XB3XNNUV9J,1400501466,3.0,2012-02,1,1,1.0,162,It's a entry-level tablet for $250
A1089S59XSJT2T,1400501466,5.0,2012-02,0,0,,203,amazing device vs kindle fire and better pricepoint then iPad
A1A92O8IVVHW3Q,1400501520,5.0,2013-11,1,2,0.5,23,"Great Product, Great Gift, Great Sale."
A3LDPF5FMB782Z,1400501520,5.0,2013-03,7,10,0.7,203,Best Color E-Reader
A35FTKYO9UQZWF,1400501520,5.0,2013-02,69,72,0.9583,430,Great little device!
A35SB5XA89HR41,1400501520,5.0,2014-03,0,1,0.0,67,Great tablet for my daughter!
A1GXOJYENYFP6W,1400501520,4.0,2012-12,48,54,0.8889,128,"best screen out of all 7"" tablets"
A1BN36SAWCLCIK,1400501520,3.0,2013-07,12,15,0.8,271,"Initially liked, but now...."
A35JCASWZL0XBH,1400501520,4.0,2014-02,1,1,1.0,225,Perfect size and Lightweight Tablet
A35EC54TIQQN01,1400501520,5.0,2013-10,2,2,1.0,213,The best screen resolution!
A36Z1OLH6B0C2I,1400501520,5.0,2013-10,12,12,1.0,277,Great product at a great price
A28OZBLQKKYGOR,1400501520,4.0,2014-03,0,0,,203,Works Good Now
A2K0JL9L38MK8L,1400501520,5.0,2013-09,0,0,,95,Own both HD and HD+
ASHQ1JCA241D6,1400501520,5.0,2013-02,2,5,0.4,101,Great tablet and ereader
A21B8AV7E3MPXE,1400501520,5.0,2013-12,2,3,0.6667,99,NICE
A1S2M6SA4OAUNK,1400501520,5.0,2013-06,10,12,0.8333,0,Best Tablet On A Budget!
AO84V5QJ6K23Z,1400501520,5.0,2013-05,16,16,1.0,92,compact and useful
